# Configuration: STAG 12 Pack (Pack 3S4P) @ 60.0°C
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
8,4.13803,99.753086,-20.690151,-5,-0.011111,59.989366,-0.028359,0.564765
8.1,4.137893,99.75,-20.689467,-5,-0.01125,59.990345,-0.028121,0.512763
8.2,4.137757,99.746914,-20.688787,-5,-0.011389,59.99123,-0.027887,0.465778
8.3,4.137622,99.743827,-20.688112,-5,-0.011528,59.992029,-0.027658,0.423325
8.4,4.137488,99.740741,-20.687442,-5,-0.011667,59.992751,-0.027434,0.384965
8.5,4.137355,99.737654,-20.686775,-5,-0.011806,59.993404,-0.027213,0.350301
8.6,4.137223,99.734568,-20.686113,-5,-0.011944,59.993994,-0.026997,0.318975
8.7,4.137091,99.731481,-20.685455,-5,-0.012083,59.994527,-0.026785,0.290665
8.8,4.13696,99.728395,-20.684802,-5,-0.012222,59.995009,-0.026577,0.265079
8.9,4.13683,99.725309,-20.684152,-5,-0.012361,59.995444,-0.026372,0.241952
9,4.136701,99.722222,-20.683506,-5,-0.0125,59.995838,-0.026172,0.221048
9.1,4.136573,99.719136,-20.682863,-5,-0.012639,59.996194,-0.025975,0.20215
9.2,4.136445,99.716049,-20.682225,-5,-0.012778,59.996515,-0.025782,0.185065
9.3,4.136318,99.712963,-20.68159,-5,-0.012917,59.996806,-0.025592,0.169617
9.4,4.136192,99.709877,-20.680958,-5,-0.013056,59.997069,-0.025406,0.155649
9.5,4.136066,99.70679,-20.68033,-5,-0.013194,59.997307,-0.025223,0.143016
9.6,4.135941,99.703704,-20.679706,-5,-0.013333,59.997522,-0.025044,0.13159
9.7,4.135817,99.700617,-20.679084,-5,-0.013472,59.997717,-0.024868,0.121255
9.8,4.135693,99.697531,-20.678466,-5,-0.013611,59.997893,-0.024694,0.111904
9.9,4.13557,99.694444,-20.677851,-5,-0.01375,59.998052,-0.024525,0.103443
10,4.135448,99.691358,-20.677239,-5,-0.013889,59.998196,-0.024358,0.095786
10.1,4.135326,99.688272,-20.676629,-5,-0.014028,59.998327,-0.024194,0.088855
10.2,4.135205,99.685185,-20.676023,-5,-0.014167,59.998445,-0.024032,0.082579
10.3,4.135084,99.682099,-20.67542,-5,-0.014306,59.998552,-0.023874,0.076897
10.4,4.134964,99.679012,-20.674819,-5,-0.014444,59.998649,-0.023718,0.07175
10.5,4.134844,99.675926,-20.674221,-5,-0.014583,59.998737,-0.023565,0.067087
10.6,4.134725,99.67284,-20.673626,-5,-0.014722,59.998816,-0.023415,0.062862
10.7,4.134607,99.669753,-20.673033,-5,-0.014861,59.998888,-0.023267,0.059031
10.8,4.134488,99.666667,-20.672442,-5,-0.015,59.998954,-0.023122,0.055557
10.9,4.134371,99.66358,-20.671854,-5,-0.015139,59.999013,-0.022979,0.052407
11,4.134254,99.660494,-20.671269,-5,-0.015278,59.999067,-0.022839,0.049547
11.1,4.134137,99.657407,-20.670686,-5,-0.015417,59.999116,-0.0227,0.046952
11.2,4.134021,99.654321,-20.670105,-5,-0.015556,59.99916,-0.022564,0.044595
11.3,4.133905,99.651235,-20.669526,-5,-0.015694,59.999201,-0.022431,0.042453
11.4,4.13379,99.648148,-20.668949,-5,-0.015833,59.999237,-0.022299,0.040506
11.5,4.133675,99.645062,-20.668375,-5,-0.015972,59.999271,-0.02217,0.038735
11.6,4.13356,99.641975,-20.667802,-5,-0.016111,59.999301,-0.022042,0.037123
11.7,4.133446,99.638889,-20.667232,-5,-0.01625,59.999329,-0.021917,0.035655
11.8,4.133333,99.635802,-20.666663,-5,-0.016389,59.999354,-0.021793,0.034317
11.9,4.133219,99.632716,-20.666097,-5,-0.016528,59.999377,-0.021672,0.033097
12,4.133106,99.62963,-20.665532,-5,-0.016667,59.999398,-0.021552,0.031984
12.1,4.132994,99.626543,-20.664969,-5,-0.016806,59.999417,-0.021434,0.030967
12.2,4.132882,99.623457,-20.664408,-5,-0.016944,59.999434,-0.021318,0.030037
12.3,4.13277,99.62037,-20.663849,-5,-0.017083,59.99945,-0.021204,0.029187
12.4,4.132658,99.617284,-20.663291,-5,-0.017222,59.999465,-0.021091,0.028407
12.5,4.132547,99.614198,-20.662735,-5,-0.017361,59.999479,-0.02098,0.027693
12.6,4.132436,99.611111,-20.66218,-5,-0.0175,59.999491,-0.02087,0.027037
12.7,4.132326,99.608025,-20.661628,-5,-0.017639,59.999502,-0.020762,0.026434
12.8,4.132215,99.604938,-20.661076,-5,-0.017778,59.999513,-0.020656,0.025879
12.9,4.132105,99.601852,-20.660526,-5,-0.017917,59.999522,-0.020551,0.025367
13,4.131996,99.598765,-20.659978,-5,-0.018056,59.999531,-0.020448,0.024895
13.1,4.131886,99.595679,-20.659431,-5,-0.018194,59.999539,-0.020346,0.024459
13.2,4.131777,99.592593,-20.658885,-5,-0.018333,59.999547,-0.020245,0.024056
13.3,4.131668,99.589506,-20.658341,-5,-0.018472,59.999554,-0.020146,0.023681
13.4,4.13156,99.58642,-20.657798,-5,-0.018611,59.999561,-0.020048,0.023334
13.5,4.131451,99.583333,-20.657257,-5,-0.01875,59.999567,-0.019951,0.023011
13.6,4.131343,99.580247,-20.656716,-5,-0.018889,59.999572,-0.019856,0.022709
13.7,4.131235,99.57716,-20.656177,-5,-0.019028,59.999578,-0.019762,0.022428
13.8,4.131128,99.574074,-20.655639,-5,-0.019167,59.999583,-0.019669,0.022165
13.9,4.13102,99.570988,-20.655102,-5,-0.019306,59.999587,-0.019577,0.021919
14,4.130913,99.567901,-20.654567,-5,-0.019444,59.999592,-0.019486,0.021687
14.1,4.130806,99.564815,-20.654032,-5,-0.019583,59.999596,-0.019397,0.021469
14.2,4.1307,99.561728,-20.653499,-5,-0.019722,59.9996,-0.019308,0.021264
14.3,4.130593,99.558642,-20.652966,-5,-0.019861,59.999603,-0.019221,0.02107
14.4,4.130487,99.555556,-20.652435,-5,-0.02,59.999607,-0.019134,0.020887
14.5,4.130381,99.552469,-20.651905,-5,-0.020139,59.99961,-0.019049,0.020713
14.6,4.130275,99.549383,-20.651376,-5,-0.020278,59.999613,-0.018965,0.020547
14.7,4.130169,99.546296,-20.650847,-5,-0.020417,59.999616,-0.018881,0.02039
14.8,4.130064,99.54321,-20.65032,-5,-0.020556,59.999619,-0.018799,0.02024
14.9,4.129959,99.540123,-20.649793,-5,-0.020694,59.999622,-0.018717,0.020096
15,4.129854,99.537037,-20.649268,-5,-0.020833,59.999624,-0.018637,0.019958
15.1,4.129749,99.533951,-20.648743,-5,-0.020972,59.999627,-0.018557,0.019826
15.2,4.129644,99.530864,-20.648219,-5,-0.021111,59.999629,-0.018478,0.019699
15.3,4.129539,99.527778,-20.647696,-5,-0.02125,59.999631,-0.0184,0.019577
15.4,4.129435,99.524691,-20.647174,-5,-0.021389,59.999634,-0.018323,0.019459
15.5,4.12933,99.521605,-20.646652,-5,-0.021528,59.999636,-0.018246,0.019345
15.6,4.129226,99.518519,-20.646131,-5,-0.021667,59.999638,-0.01817,0.019235
15.7,4.129122,99.515432,-20.645612,-5,-0.021806,59.99964,-0.018095,0.019128
15.8,4.129018,99.512346,-20.645092,-5,-0.021944,59.999642,-0.018021,0.019024
15.9,4.128915,99.509259,-20.644574,-5,-0.022083,59.999644,-0.017948,0.018923
16,4.128811,99.506173,-20.644056,-5,-0.022222,59.999646,-0.017875,0.018825
16.1,4.128708,99.503086,-20.643539,-5,-0.022361,59.999647,-0.017803,0.01873
16.2,4.128605,99.5,-20.643023,-5,-0.0225,59.999649,-0.017731,0.018636
16.3,4.12852,99.496914,-20.642598,-5,-0.022639,59.999651,-0.017683,0.018546
16.4,4.128435,99.493827,-20.642173,-5,-0.022778,59.999652,-0.017635,0.01846
16.5,4.12835,99.490741,-20.64175,-5,-0.022917,59.999654,-0.017588,0.018378
16.6,4.128265,99.487654,-20.641327,-5,-0.023056,59.999655,-0.017542,0.018299
16.7,4.128181,99.484568,-20.640904,-5,-0.023194,59.999657,-0.017496,0.018223
16.8,4.128097,99.481481,-20.640483,-5,-0.023333,59.999658,-0.017451,0.018151
16.9,4.128012,99.478395,-20.640061,-5,-0.023472,59.99966,-0.017406,0.018081
17,4.127928,99.475309,-20.639641,-5,-0.023611,59.999661,-0.017362,0.018013
17.1,4.127844,99.472222,-20.63922,-5,-0.02375,59.999662,-0.017318,0.017948
17.2,4.12776,99.469136,-20.638801,-5,-0.023889,59.999663,-0.017275,0.017885
17.3,4.127676,99.466049,-20.638382,-5,-0.024028,59.999664,-0.017232,0.017823
17.4,4.127593,99.462963,-20.637963,-5,-0.024167,59.999666,-0.01719,0.017764
17.5,4.127509,99.459877,-20.637545,-5,-0.024306,59.999667,-0.017149,0.017706
17.6,4.127425,99.45679,-20.637127,-5,-0.024444,59.999668,-0.017107,0.01765
17.7,4.127342,99.453704,-20.63671,-5,-0.024583,59.999669,-0.017067,0.017596
17.8,4.127259,99.450617,-20.636293,-5,-0.024722,59.99967,-0.017026,0.017542
17.9,4.127175,99.447531,-20.635877,-5,-0.024861,59.999671,-0.016987,0.01749
18,4.127092,99.444444,-20.635461,-5,-0.025,59.999672,-0.016947,0.01744
18.1,4.127009,99.441358,-20.635045,-5,-0.025139,59.999673,-0.016908,0.01739
18.2,4.126926,99.438272,-20.63463,-5,-0.025278,59.999673,-0.01687,0.017341
18.3,4.126843,99.435185,-20.634216,-5,-0.025417,59.999674,-0.016832,0.017294
18.4,4.12676,99.432099,-20.633801,-5,-0.025556,59.999675,-0.016794,0.017247
18.5,4.126677,99.429012,-20.633387,-5,-0.025694,59.999676,-0.016756,0.017201
