# Configuration: STAG 12 Pack (Pack 3S4P) @ 30.0A
# Output Level: Pack (scaled by series/parallel)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
12.6,12.212125,99.416667,-366.363742,-30,-0.105,25.009336,6.026797,-5.949813
12.7,12.21153,99.412037,-366.345902,-30,-0.105833,25.009348,6.032838,-5.957574
12.8,12.21094,99.407407,-366.328187,-30,-0.106667,25.00936,6.038753,-5.965161
12.9,12.210353,99.402778,-366.310595,-30,-0.1075,25.009372,6.044545,-5.97258
13,12.209771,99.398148,-366.293125,-30,-0.108333,25.009383,6.050215,-5.979836
13.1,12.209192,99.393519,-366.275773,-30,-0.109167,25.009394,6.055768,-5.986932
13.2,12.208618,99.388889,-366.258536,-30,-0.11,25.009405,6.061205,-5.993872
13.3,12.208047,99.384259,-366.241413,-30,-0.110833,25.009416,6.066528,-6.000662
13.4,12.20748,99.37963,-366.224401,-30,-0.111667,25.009426,6.071741,-6.007304
13.5,12.206917,99.375,-366.207497,-30,-0.1125,25.009436,6.076845,-6.013801
13.6,12.206357,99.37037,-366.1907,-30,-0.113333,25.009446,6.081843,-6.020159
13.7,12.2058,99.365741,-366.174006,-30,-0.114167,25.009456,6.086737,-6.02638
13.8,12.205247,99.361111,-366.157414,-30,-0.115,25.009466,6.09153,-6.032467
13.9,12.204697,99.356481,-366.140922,-30,-0.115833,25.009475,6.096223,-6.038423
14,12.204151,99.351852,-366.124527,-30,-0.116667,25.009484,6.100818,-6.044253
14.1,12.203608,99.347222,-366.108227,-30,-0.1175,25.009493,6.105318,-6.049958
14.2,12.203067,99.342593,-366.092021,-30,-0.118333,25.009502,6.109725,-6.055542
14.3,12.20253,99.337963,-366.075906,-30,-0.119167,25.00951,6.114041,-6.061007
14.4,12.201996,99.333333,-366.05988,-30,-0.12,25.009519,6.118267,-6.066356
14.5,12.201465,99.328704,-366.043942,-30,-0.120833,25.009527,6.122406,-6.071592
14.6,12.200936,99.324074,-366.02809,-30,-0.121667,25.009535,6.126459,-6.076717
14.7,12.200411,99.319444,-366.012321,-30,-0.1225,25.009543,6.130428,-6.081735
14.8,12.199888,99.314815,-365.996634,-30,-0.123333,25.009551,6.134315,-6.086647
14.9,12.199368,99.310185,-365.981028,-30,-0.124167,25.009558,6.138122,-6.091455
15,12.19885,99.305556,-365.9655,-30,-0.125,25.009566,6.141851,-6.096163
15.1,12.198335,99.300926,-365.950049,-30,-0.125833,25.009573,6.145502,-6.100771
15.2,12.197822,99.296296,-365.934673,-30,-0.126667,25.00958,6.149079,-6.105284
15.3,12.197312,99.291667,-365.919371,-30,-0.1275,25.009587,6.152581,-6.109702
15.4,12.196805,99.287037,-365.904142,-30,-0.128333,25.009594,6.156012,-6.114027
15.5,12.196299,99.282407,-365.888982,-30,-0.129167,25.0096,6.159372,-6.118263
15.6,12.195796,99.277778,-365.873892,-30,-0.13,25.009607,6.162663,-6.12241
15.7,12.195296,99.273148,-365.858869,-30,-0.130833,25.009613,6.165886,-6.126471
15.8,12.194797,99.268519,-365.843913,-30,-0.131667,25.009619,6.169043,-6.130447
15.9,12.194301,99.263889,-365.829021,-30,-0.1325,25.009625,6.172136,-6.134341
16,12.193806,99.259259,-365.814193,-30,-0.133333,25.009631,6.175164,-6.138154
16.1,12.193314,99.25463,-365.799427,-30,-0.134167,25.009637,6.178131,-6.141888
16.2,12.192824,99.25,-365.784722,-30,-0.135,25.009643,6.181037,-6.145544
16.3,12.192336,99.24537,-365.770076,-30,-0.135833,25.009649,6.183884,-6.149125
16.4,12.19185,99.240741,-365.755488,-30,-0.136667,25.009654,6.186673,-6.152632
16.5,12.191365,99.236111,-365.740957,-30,-0.1375,25.00966,6.189404,-6.156066
16.6,12.190883,99.231481,-365.726482,-30,-0.138333,25.009665,6.19208,-6.15943
16.7,12.190402,99.226852,-365.712062,-30,-0.139167,25.00967,6.194701,-6.162724
16.8,12.189923,99.222222,-365.697695,-30,-0.14,25.009675,6.197268,-6.16595
16.9,12.189446,99.217593,-365.683381,-30,-0.140833,25.00968,6.199784,-6.16911
17,12.188971,99.212963,-365.669117,-30,-0.141667,25.009685,6.202248,-6.172205
17.1,12.188497,99.208333,-365.654904,-30,-0.1425,25.00969,6.204662,-6.175236
17.2,12.188025,99.203704,-365.64074,-30,-0.143333,25.009694,6.207027,-6.178205
17.3,12.187554,99.199074,-365.626624,-30,-0.144167,25.009699,6.209344,-6.181113
17.4,12.187085,99.194444,-365.612555,-30,-0.145,25.009703,6.211613,-6.183962
17.5,12.186618,99.189815,-365.598532,-30,-0.145833,25.009708,6.213837,-6.186752
17.6,12.186152,99.185185,-365.584554,-30,-0.146667,25.009712,6.216016,-6.189485
17.7,12.185687,99.180556,-365.570621,-30,-0.1475,25.009716,6.21815,-6.192162
17.8,12.185224,99.175926,-365.55673,-30,-0.148333,25.00972,6.220242,-6.194784
17.9,12.184763,99.171296,-365.542882,-30,-0.149167,25.009724,6.222291,-6.197353
18,12.184302,99.166667,-365.529075,-30,-0.15,25.009728,6.224298,-6.199869
18.1,12.183844,99.162037,-365.515309,-30,-0.150833,25.009732,6.226266,-6.202334
18.2,12.183386,99.157407,-365.501582,-30,-0.151667,25.009736,6.228193,-6.204749
18.3,12.18293,99.152778,-365.487894,-30,-0.1525,25.00974,6.230082,-6.207115
18.4,12.182475,99.148148,-365.474245,-30,-0.153333,25.009743,6.231932,-6.209432
18.5,12.182021,99.143519,-365.460632,-30,-0.154167,25.009747,6.233745,-6.211703
18.6,12.181569,99.138889,-365.447057,-30,-0.155,25.00975,6.235522,-6.213927
18.7,12.181117,99.134259,-365.433516,-30,-0.155833,25.009754,6.237263,-6.216106
18.8,12.180667,99.12963,-365.420011,-30,-0.156667,25.009757,6.238969,-6.218241
18.9,12.180218,99.125,-365.40654,-30,-0.1575,25.00976,6.240641,-6.220333
19,12.17977,99.12037,-365.393103,-30,-0.158333,25.009764,6.242279,-6.222382
19.1,12.179323,99.115741,-365.379698,-30,-0.159167,25.009767,6.243885,-6.22439
19.2,12.178878,99.111111,-365.366326,-30,-0.16,25.00977,6.245458,-6.226357
19.3,12.178433,99.106481,-365.352985,-30,-0.160833,25.009773,6.247,-6.228285
19.4,12.177989,99.101852,-365.339674,-30,-0.161667,25.009776,6.248511,-6.230174
19.5,12.177546,99.097222,-365.326394,-30,-0.1625,25.009779,6.249992,-6.232024
19.6,12.177105,99.092593,-365.313144,-30,-0.163333,25.009782,6.251444,-6.233837
19.7,12.176664,99.087963,-365.299922,-30,-0.164167,25.009784,6.252866,-6.235614
19.8,12.176224,99.083333,-365.286729,-30,-0.165,25.009787,6.25426,-6.237355
19.9,12.175785,99.078704,-365.273564,-30,-0.165833,25.00979,6.255626,-6.239061
20,12.175348,99.074074,-365.260426,-30,-0.166667,25.009792,6.256966,-6.240733
20.1,12.17491,99.069444,-365.247314,-30,-0.1675,25.009795,6.258278,-6.242371
20.2,12.174474,99.064815,-365.234228,-30,-0.168333,25.009797,6.259565,-6.243977
20.3,12.174039,99.060185,-365.221168,-30,-0.169167,25.0098,6.260825,-6.24555
20.4,12.173604,99.055556,-365.208133,-30,-0.17,25.009802,6.262061,-6.247091
20.5,12.173171,99.050926,-365.195123,-30,-0.170833,25.009805,6.263273,-6.248602
20.6,12.172738,99.046296,-365.182136,-30,-0.171667,25.009807,6.26446,-6.250083
20.7,12.172306,99.041667,-365.169173,-30,-0.1725,25.009809,6.265624,-6.251534
20.8,12.171874,99.037037,-365.156233,-30,-0.173333,25.009812,6.266765,-6.252956
20.9,12.171444,99.032407,-365.143316,-30,-0.174167,25.009814,6.267884,-6.25435
21,12.171014,99.027778,-365.130421,-30,-0.175,25.009816,6.26898,-6.255716
21.1,12.170585,99.023148,-365.117547,-30,-0.175833,25.009818,6.270055,-6.257055
21.2,12.170156,99.018519,-365.104694,-30,-0.176667,25.00982,6.271108,-6.258367
21.3,12.169729,99.013889,-365.091862,-30,-0.1775,25.009822,6.272141,-6.259653
21.4,12.169302,99.009259,-365.079051,-30,-0.178333,25.009824,6.273154,-6.260913
21.5,12.168875,99.00463,-365.066259,-30,-0.179167,25.009826,6.274146,-6.262149
21.6,12.16845,99,-365.053487,-30,-0.18,25.009828,6.275119,-6.26336
21.7,12.168076,98.99537,-365.042268,-30,-0.180833,25.00983,6.276201,-6.264552
21.8,12.167702,98.990741,-365.031067,-30,-0.181667,25.009832,6.277265,-6.265734
21.9,12.16733,98.986111,-365.019885,-30,-0.1825,25.009833,6.27831,-6.266903
22,12.166957,98.981481,-365.008721,-30,-0.183333,25.009835,6.279337,-6.268059
22.1,12.166586,98.976852,-364.997575,-30,-0.184167,25.009837,6.280347,-6.269202
22.2,12.166215,98.972222,-364.986445,-30,-0.185,25.009839,6.281339,-6.270332
22.3,12.165844,98.967593,-364.975333,-30,-0.185833,25.009841,6.282314,-6.271447
22.4,12.165475,98.962963,-364.964237,-30,-0.186667,25.009842,6.283273,-6.272547
22.5,12.165105,98.958333,-364.953157,-30,-0.1875,25.009844,6.284216,-6.273634
22.6,12.164736,98.953704,-364.942094,-30,-0.188333,25.009846,6.285142,-6.274705
22.7,12.164368,98.949074,-364.931046,-30,-0.189167,25.009847,6.286054,-6.275762
22.8,12.164,98.944444,-364.920013,-30,-0.19,25.009849,6.286949,-6.276803
