# Configuration: STAG 12 Pack (Pack 3S4P) @ 30.0A
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
11.1,4.073873,99.486111,-30.554044,-7.5,-0.023125,25.009114,0.493251,-0.484058
11.2,4.073649,99.481481,-30.552369,-7.5,-0.023333,25.009132,0.493943,-0.484983
11.3,4.073428,99.476852,-30.550708,-7.5,-0.023542,25.009149,0.49462,-0.485885
11.4,4.073208,99.472222,-30.549062,-7.5,-0.02375,25.009165,0.495283,-0.486764
11.5,4.072991,99.467593,-30.54743,-7.5,-0.023958,25.009182,0.495932,-0.487622
11.6,4.072775,99.462963,-30.545811,-7.5,-0.024167,25.009197,0.496567,-0.488459
11.7,4.072561,99.458333,-30.544205,-7.5,-0.024375,25.009213,0.497189,-0.489276
11.8,4.072348,99.453704,-30.542613,-7.5,-0.024583,25.009228,0.497798,-0.490073
11.9,4.072138,99.449074,-30.541033,-7.5,-0.024792,25.009242,0.498395,-0.490851
12,4.071929,99.444444,-30.539466,-7.5,-0.025,25.009257,0.498978,-0.491611
12.1,4.071722,99.439815,-30.537912,-7.5,-0.025208,25.009271,0.49955,-0.492353
12.2,4.071516,99.435185,-30.536369,-7.5,-0.025417,25.009284,0.500109,-0.493079
12.3,4.071312,99.430556,-30.534838,-7.5,-0.025625,25.009298,0.500657,-0.493787
12.4,4.071109,99.425926,-30.533318,-7.5,-0.025833,25.009311,0.501194,-0.49448
12.5,4.070908,99.421296,-30.531809,-7.5,-0.026042,25.009323,0.501719,-0.495156
12.6,4.070708,99.416667,-30.530312,-7.5,-0.02625,25.009336,0.502233,-0.495818
12.7,4.07051,99.412037,-30.528825,-7.5,-0.026458,25.009348,0.502736,-0.496464
12.8,4.070313,99.407407,-30.527349,-7.5,-0.026667,25.00936,0.503229,-0.497097
12.9,4.070118,99.402778,-30.525883,-7.5,-0.026875,25.009372,0.503712,-0.497715
13,4.069924,99.398148,-30.524427,-7.5,-0.027083,25.009383,0.504185,-0.49832
13.1,4.069731,99.393519,-30.522981,-7.5,-0.027292,25.009394,0.504647,-0.498911
13.2,4.069539,99.388889,-30.521545,-7.5,-0.0275,25.009405,0.5051,-0.499489
13.3,4.069349,99.384259,-30.520118,-7.5,-0.027708,25.009416,0.505544,-0.500055
13.4,4.06916,99.37963,-30.5187,-7.5,-0.027917,25.009426,0.505978,-0.500609
13.5,4.068972,99.375,-30.517291,-7.5,-0.028125,25.009436,0.506404,-0.50115
13.6,4.068786,99.37037,-30.515892,-7.5,-0.028333,25.009446,0.50682,-0.50168
13.7,4.0686,99.365741,-30.514501,-7.5,-0.028542,25.009456,0.507228,-0.502198
13.8,4.068416,99.361111,-30.513118,-7.5,-0.02875,25.009466,0.507627,-0.502706
13.9,4.068232,99.356481,-30.511743,-7.5,-0.028958,25.009475,0.508019,-0.503202
14,4.06805,99.351852,-30.510377,-7.5,-0.029167,25.009484,0.508402,-0.503688
14.1,4.067869,99.347222,-30.509019,-7.5,-0.029375,25.009493,0.508777,-0.504163
14.2,4.067689,99.342593,-30.507668,-7.5,-0.029583,25.009502,0.509144,-0.504628
14.3,4.06751,99.337963,-30.506325,-7.5,-0.029792,25.00951,0.509503,-0.505084
14.4,4.067332,99.333333,-30.50499,-7.5,-0.03,25.009519,0.509856,-0.50553
